Article #,Type of article,Article Title,DOI,Author,Year,Animal,Animal type,Farming country,Mineral premix included? (Y/N),Type of premix (trace element or not),Proxy? (Y/N),Proxy name,Details,Likelihood of premix dependence,
1,Accepted,Effect of life cycle inventory choices and nutritional variation on carbon footprint of broiler meat production,10.1016/j.jclepro.2022.135463,Alkhtib et al,2023,Chicken,Chicken,United Kingdom,Y,Probably non-trace,Y,"Sodium bicarbonate, Europe, at mill'","Did the LCA just for carbon footprint using LCIs from Agribalyse 3.01, ECOALIM and GLFI. For the GLFI database, for for BR.trial starter premix and BR.trial Grower premix, the proxy was ' Total minerals, additives, vitamins, at plant/RER'. For both Agribalyse and ECOALIM, the proxy was 'Sodium bicarbonate, Europe, at mill'",,
2,Accepted,Reducing the environmental impacts of Brazilian chicken meat production using different waste recovery strategies,10.1016/j.jenvman.2023.118021,Araújo dos Santos et al,2023,Chicken,Chicken,Brazil,N,,,,"feed complements, salt, and limestone were removed for better identification of the other flows and for not having viable substitutes within the aim of the study"". I assumed this meant they did not include mineral premix",,
3,Accepted,Comparing the environmental impacts of pasturebased and confinement-based dairy systems in Nova Scotia (Canada) using life cycle assessment,10.3763/ijas.2009.0356,Arsenault et al,2009,Cattle,Cattle,Canada,Y,Non-trace and trace,Y,Phosphate,"""Amalgam of monocal phosphate, salt, calcium granules, magnesium oxide, monoammonium phosphate, vitamins and trace mineral premix. Treated entirely as phosphate."" Interestingly, the mineral feed was attributed 0 ha of land use in the analysis too.",,
4,Accepted,Environmental performance of copper-alloy Net-pens: Life cycle assessment of Atlantic salmon grow-out in copper-alloy and nylon net-pens,10.1016/j.aquaculture.2015.11.028,Ayer et al,2016,Atlantic salmon,Fish/Crustaceans,Chile,N,,,,"Used the feed formulation and model feed from Pelletier et al (2009): 10.1021/es9010114, which didn't include mineral premix",,
5,Accepted,The Assessment of Environmental Impact of the Chicken Meat Agroindustry in Indonesia: Life Cycle Assessment (LCA) Perspective,10.5398/tasj.2023.46.2.249,Azmi et al,2023,Chicken,Chicken,Indonesia,N,,,,Did not include minerals in the inventory,,
6,Accepted,Quantification and control of the greenhouse gas emissions from a dairy cow system,http://dx.doi.org/10.1016/j.jclepro.2014.02.010,Baek et al,2014,Cattle,Cattle,Korea,N,,,,"Email response from corresponding authour says that they did not include mineral premix. Still investigating. They use values from this report: Lee, K.M., Park, K.H., 2012. Development of Carbon Tracing System for Livestock Agriculture, “Development of LCI DB and Estimation of Greenhouse Gas from Feedstuff”. Research report. National Institute of Animal Science of the Republic of Korea. They acknowledge that TMR includes premix, but it's not clear if this is included in the LCA",,Sent email to clairify 20-04-24
7,Accepted,Life cycle assessment of alternative swine management practices,http://doi.org/10.1093/jas/sky425,Bandekar et al,2019,Pig,Pig,USA,Y,Trace minerals,Y,Limestone,"Used the Pig Production Environmental Footprint Calculator model (PPEC), which does include both premix and Zn oxide. However, they then used SimaPro to do the LCA- not sure whether this uses a proxy or not. Beth: ASSUMED that they used limestone as a proxy as it wasn't clear",,
8,Accepted,Implications of uncertainty and variability in the life cycle assessment of pig production systems,10.1065/lca2005.08.219,Basset-Mens,2006,Pig,Pig,France,N,,,,"Data for feed production (involving, amongst others: grinding, heating, mixing, pelleting) were from van der Werf et al. (2005). In Werf et al (2005), premix is in the inventory, but not in the flow diagram, so we assumed that it was not included in the LCA",,
9,Accepted,Life cycle assessment of diets for gilthead seabream (Sparus aurata) with different protein/carbohydrate ratios and fishmeal or plant feedstuffs as main protein sources,https://doi.org/10.1007/s11367-019-01625-7,Basto-Silva,2019,Sea Bream,Fish/Crustaceans,Portugal,N,,,,"All ingredients used in the formulated diets with a contribution of less than 1% of dry weight (lysine, taurine, vitamin mix, mineral mix, binder, choline chloride) were not evaluated in the present study.",,
10,Accepted,Life cycle assessment of greenhouse gas emissions from beef production in western Canada: A case study,10.1016/j.agsy.2010.03.008,Beauchemin et al,2010,Cattle,Cattle,Canada,N,,,,Not listed in inventory - only a few crops were used,,
11,Accepted,Mitigation of greenhouse gas emissions from beef production in western Canada – Evaluation using farm-based life cycle assessment,10.1016/j.anifeedsci.2011.04.047,Beauchemin et al,2011,Cattle,Cattle,Canada,N,,,,Not listed in inventory- only a few crops and distillers grain was used,,
12,Accepted,"Life-cycle analysis of soybean meal, distiller-dried grains with solubles, and synthetic amino acid-based animal feeds for swine and poultry production",https://doi.org/10.1016/j.anifeedsci.2020.114607,Benavides et al,2020,Chicken,Chicken,USA,N,,,,"Production and use of vitamins, trace minerals, and other pharmaceutical components were assumed similar within a given type of animal diet and were not included in this analysis.",,
12,Accepted,"Life-cycle analysis of soybean meal, distiller-dried grains with solubles, and synthetic amino acid-based animal feeds for swine and poultry production",https://doi.org/10.1016/j.anifeedsci.2020.114607,Benavides et al,2020,Pig,Pig,USA,N,,,,"Production and use of vitamins, trace minerals, and other pharmaceutical components were assumed similar within a given type of animal diet and were not included in this analysis.",,
13,Accepted,Cradle to retailer or quick service restaurant gate life cycle assessment of chicken products in Australia,http://dx.doi.org/10.1016/j.jclepro.2012.09.034,Bengtsson et al,2013,Chicken,Chicken,Australia,N,,,,Not listed in inventory,,
14,Accepted,Recirculating Aquaculture Is Possible without Major Energy Tradeoff: Life Cycle Assessment of Warmwater Fish Farming in Sweden,https://dx.doi.org/10.1021/acs.est.0c01100,Bergman et al,2020,Tilapia,Fish/Crustaceans,Sweden,N,,,,"""Microingredients, such as vitamins and amino acids, were excluded since detailed composition and inventory data were lacking"". I assumed this included the mineral premix",,
15,Accepted,Consequential-based life cycle assessment of reducing the concentrates supply level in the diet fed to lactating cows in the alpine dairy farming system,https://doi.org/10.1080/1828051X.2022.2155586,Berton et al,2023,Cattle,Cattle,Italy and Austria,N,,,,Not listed in inventory,,
16,Accepted,Life cycle assessment of common carp (Cyprinus carpio L.) – A comparison of the environmental impacts of conventional and organic carp aquaculture in Germany,https://doi.org/10.1016/j.aquaculture.2018.10.019,Biermann and Geist,2019,Carp,Fish/Crustaceans,Germany,N,,,,Not listed in inventory. Note: inventory is in Supplementary Data,,
