Type of article,Article Title,DOI ,Author,Year,Animal,Animal type,Farming country,Mineral premix included? (Y/N),Type of premix (trace element or not),Proxy? (Y/N),Proxy name,Details,Likelihood of premix dependence,
Accepted,A retrospective analysis of the United States poultry industry: 1965 compared with 2010,10.1016/j.agsy.2017.07.008,Putman et al,2017,Chicken,Chicken,United States,Y,Probably non-trace,Y,Limestone (calcium carbonate),"""Includes salt, limestone, vitamins, minerals, and synthetic amino acids (in 2010 rations only).""",,
Accepted,Life Cycle Assessment of Icelandic Arctic Char Fed Three Different Feed Types,10.4194/1303-2712-v17_1_10,Smárason et al,2017,Arctic char,Fish/Crustaceans,Iceland,Y,Trace minerals,Y,Limestone,Vitamins/minerals was included in Table 1 but no information about proxy.,,
Accepted,Life cycle assessment of contemporary Canadian egg production systems during the transition from conventional cage to alternative housing systems: Update and analysis of trends and conditions,10.1016/j.resconrec.2021.105907,Turner et al,2022,Chicken,Chicken,Canada,Y,?,Y,,"""Inventory models for other inputs to feed production including sources of calcium, phosphate, salt, minerals, amino acids, and other pre-mixes and supplements were derived from the EcoInvent database (2005), with all mineral inputs modeled as salt.""",,
Accepted,Attributional versus consequential life cycle assessment and feed optimization: alternative protein sources in pig diets,10.1007/s11367-017-1299-6,van Zanten et al,2018,Pig,Pig,Dutch,Y,Non-trace,Y,Calcium carbonate ,"Used Limestone ,Salt, Monocalcium phosphate,Sodium bicarbonate, but referred to Garcia-Launay et al for how the GWP was calculated.
Quote from Garcia-Launay et al to say how they dealt with the premix: ""Data for phytase, salt, monocalcium phosphate and calcium carbonate are the same as in Mosnier et al. (2011). The premix was assumed to be produced mainly from calcium carbonate and to have the same impacts.""",,
Accepted,Environmental life cycle comparisons of pig farming integrated with anaerobic digestion and algae-based wastewater treatment,10.1016/j.jenvman.2020.110512,Wu et al,2020,Pig,Pig,EU,Y,Probably non-trace,Y,Phosphorus,"""mineral (P) = 6 kg"" so the proxy of mineral could be P in this study. Beth: I reckon this is correct :)",,
Grey,Resource recovery of biological residues from the Brazilian poultry industry in mitigating environmental impacts: A life cycle assessment (LCA) approach,10.1016/j.jclepro.2023.137895,Alves et al,2023,Chicken,,Brazil,Y,,?,,"The paper includes sodium bicarbonate and sodium chloride, but there is also 'other'. I wouldn't class either of these as 'premix', so perhaps it's a no?? There might be premix in the 'other' category, for which there are no details. Email response: we include all the ingredients provided for the birds in the modeling. Each feed input (i.e. Soybean meal, Corn gluten) was selected from databases such as ecoinvent v3.6, Agri-footprint, LCA food DK, Industry data, ULSI, and ELCD.

Therefore, the environmental pressures relative to each mineral premix were not calculated in our work, that is, they were included from the selected databases.",,
Grey,The use of life cycle assessment to compare the environmental impact of production and feeding of conventional and genetically modified maize for broiler production in Argentina,10.22358/jafs/66843/2006,Bennett et al,2006,Chicken,,Argentina,Y,,,,"They use the feed inventory from Kreabab et al (2005): 10.1093/japr/14.3.463, which did include the mineral premix (though it's not clear how any environmental impact was calculated). In Bennet et al 2006, they seem to just focus on the maize component of the feed. Email reply: I am sorry but this is so long ago that I cannot remember what we did! I also do not have time to investigate as I have long since moved on from this area of research.",,
Grey,Intensifying the environmental performance of chicken meat production in China: From perspective of life cycle assessment,https://doi.org/10.1016/j.jclepro.2022.135603,Cheng et al ,2023,Chicken,,China,Y,,?,,"Feed premix (which I assume includes the mineral premix) was included, but it is impossible to tell whether a proxy is used as they have used the 'China Process-based Life Cycle Inventory Database' to calculate the values",,
Grey,Sugarcane ethanol and beef cattle integration in Brazil,https://doi.org/10.1016/j.biombioe.2018.12.012,de Souza et al ,2019,Cattle,,Brazil,Y,,Sort of ,Assumption (they essentially plucked a figure out of the air),See Supplementary Table S7: Reference for environmental inputs is 'Assumption',,
Grey,Life cycle assessment for rainbow trout (Oncorhynchus mykiss) production systems: a case study for Iran,http://dx.doi.org/10.1016/j.jclepro.2014.12.006,Dekamin et al,2015,Rainbow trout,,Iran,Y,,?,,"In the inventory, but no idea whether they used a proxy or not. Used SimaPro to derive inventory",,
Grey,Comparative life cycle assessment of technologies and strategies to improve nitrogen use efficiency in egg supply chains,https://doi.org/10.1016/j.resconrec.2020.105275,Ershadi et al,2020,Chicken,,Canada,Y,,?,,"""Premix was modelled based on information provided by Otter Coop (pers. comm, Alizadeh, 2019, Otter Coop)""",,
Grey,Effect of Nutritional Variation and LCA Methodology on the Carbon Footprint of Milk Production From Holstein Friesian Dairy Cows,https://doi.org/10.3389/fsufs.2021.588158,March et al,2021,Dairy Cattle,,UK,Y,,?,,No data was given on whether premix was used in analysis or whether a proxy was used - FeedPrint is the software. Assuming this is limestone proxy.,,
Grey,Environmental impact assessment of salmonid feeds using Life Cycle Assessment (LCA),10.1579/0044-7447-33.6.316,Papatryphon et al,2004,Rainbow trout,,France,Y,,Y,,"Premix: from Tillon and Merson, UCAAB, pers.comm., 2001. They are not sure which proxy they used. ",,
Grey,Environmental Impacts of the Beef Production Chain in the Northeast of Portugal Using Life Cycle Assessment,10.3390/agriculture8100165,Presumido et al,2018,Cattle,,Portugal,Y,,N,,"Mineral salt was indicated in the animal feed, but no further details were available. ",,
Grey,"Life cycle assessment of Danish pork exports using different cooling technologies and comparison of upstream supply chain efficiencies between Denmark, China and Australia",https://doi.org/10.1016/j.jclepro.2019.118816,Bonou et al,2020,Pig,,"Denmark, Australia and China",N,,,,"Listed in the Danish inventory, but very unlikely to have been included in the LCA. ",,
Grey,The finishing stage in swine production: influences of feed composition on carbon footprint,10.1007/s10668-014-9607-9,Cherubini et al,2015,Pig,,Brazil,Y,,N,,"They definitely included it, but no idea whether they used a proxy or how they got the data for the LCA",,
Grey,Aquaponics and sustainability: The comparison of two different aquaponic techniques using the Life Cycle Assessment (LCA),10.1016/j.aquaeng.2017.03.002,Forchino et al,2017,Rainbow trout,,Italy,Y,,,,"They ""assumed that fish was fed with commercial extruded feed"" . It is not clear whether this feed includes mineral premix or not",,
Grey,From farm to fork – A life cycle assessment of fresh Austrian pork,https://doi.org/10.1016/j.jclepro.2016.01.005,Winkler et al,2016,Pig,,Austria,Y,,?,,"""9.5% mineral feed"", and they cite Nemecek et al (2005) as their reference. However:  Reply from Nemecek states: ""the cited report is on crop production and grassland only. We did not include animal production there; so there are no feed components.
I seems that the authors used emission factors for feed production from our report."" Therefore, it was impossible to tell how/whether the mineral feed components were included or not
",,
Grey,Comparative life cycle assessment of Flemish and Western Cape pork production,10.1080/03031853.2012.741208,Devers et al,2012,Pig,,Belgium and South Africa,,,,,,,
Grey,Carbon footprint of milk production under smallholder dairying in Anand district of Western India: a cradle-to-farm gate life cycle assessment,http://dx.doi.org/10.1071/AN15464,Garg et al,2016,Cattle,,India,?,,,,"Included in inventory, but it's not clear how the LCA was calculated",,
