Type of article,Article Title,DOI ,Author,Year,Animal,Animal type,Farming country,Mineral premix included? (Y/N),Type of premix (trace element or not),Proxy? (Y/N),Proxy name,Details,Likelihood of premix dependence,
Accepted,Life cycle assessment of high- and low-profitability commodity and deep-bedded niche swine production systems in the Upper Midwestern United States,https://doi.org/10.1016/j.agsy.2010.07.001,Pelletier et al,2010,Pig,Pig,United States,N,Non-trace,,,"Dicalcium Phosphate, Ground limestone, Sodium chloride, other (not sure about other ingredient). NOTES FROM AUTHOR: Certainly, we would not have had fully resolved data re. the composition of mineral premixes, nor access to adequate third party life cycle inventory models to represent them. The situation has certainly improved in the interim, but challenges do remain both with respect to access to information regarding proprietary premix compositions as well as inventory models to represent some of the constituents.",,
Accepted,Life cycle assessment of fish culture in Thailand: Case study of Nile Tilapia and Striped Catfish,10.7763/IJESD.2013.V4.423,Pongpat and Tongpool,2013,Tilapia,Fish/Crustaceans,Thailand,N,,,,,,
Accepted,Life Cycle Assessment for the Cuban pig production: Case study in Sancti Spiritus,10.1016/j.jclepro.2019.02.047,Reyes et al,2019,Pig,Pig,Cuba,N,,,,Only include soy bean and maize in the feed inventory,,
Accepted,Comparing Carbon and Water Footprints for Beef Cattle Production in Southern Australia,10.3390/su3122443,Ridoutt et al,2011,Cattle,Cattle,Australia,N,,,,"Only carbon footprint and water footprint. ""Supplementary feeds (grain and pasture hay)"" probably not the premix",,
Accepted,Cradle-to-gate life cycle assessment of regionally produced beef in the northwestern U.S.,10.13031/trans.57.10498,Roop et al,2014,Cattle,Cattle,United States,N,,,,"LCA for GHG emissions. ""feeds lacking emissions data for proprietary reasons (arrival, finish, and heifer finish supplements) or those fed in extremely small amounts (less than 0.5% of overall feed by weight), such as molasses, were excluded from the analysis.""\",,
Accepted,Relative emissions intensity of dairy production systems: employing different functional units in life-cycle assessment,10.1017/S1751731117000052,Ross et al,2017,Cattle,Cattle,United Kingdom,N,,,,"Barley, Wheat, Sugar beet pulp, Soyabean meal, Rapeseed meal plus forage only",,
Accepted,Life Cycle Assessment of Aquaculture Stewardship Council Certified Atlantic Salmon (Salmo salar),10.3390/su12156079,Sherry and Koester,2020,Atlantic salmon,Fish/Crustaceans,Canada,N,,,,"Feed composition refer to Pelletier and Tyedmers, 2007, doi.org/10.1016/j.aquaculture.2007.06.024. ""Premixes (not included in analysis)""",,
Accepted,Life cycle assessment of aquafeed ingredients,10.1007/s11367-017-1414-8,Silva et al,2018,None,Fish/Crustaceans,None,N,,,,"LCA for aquafeed ingredients only. ""fishmeal (FM) and fish oil (FO) from fisheries by-products, meal and fat by-products from poultry slaughter, FM and FO from Peruvian anchovy capture, and soybean meal and oil. """,,
Accepted,Life cycle assessment of the chicken meat chain,10.1016/j.jclepro.2018.02.274,Skunca et al,2018,Chicken,Chicken,Serbia,N,,,,Only raw materials were included in Table 2,,
Accepted,An approach to achieve overall farm feed efficiency in pig production: environmental evaluation through individual life cycle assessment,10.1007/s11367-020-01860-3,Soleimani and Gilbert,2021,Pig,Pig,France,N,,,,"Vitamins and minerals were mentioned in Table S2. Salt (Sodium Chloride) was mentioned too, but not sure if it's minerals. ""Ingredients like salt, carbonate calcium and vitamins, which do not have digestible energy, CP or AAs, were considered as additives and excluded from the formulation step"" so maybe no for mineral premix",,
Accepted,Paths to a sustainable food sector: integrated design and LCA of future food supply chains: the case of pork production in Sweden,10.1007/s11367-015-0969-5,Sonesson et al,2016,Pig,Pig,Sweden,N,,,,"Only crops (e.g. wheat, fava bean etc) were included as feed ingredients",,
Accepted,Life cycle assessment of recirculating aquaculture systems: A case of Atlantic salmon farming in China,10.1111/jiec.12845,Song et al,2019,Atlantic salmon,Fish/Crustaceans,China,N,,,,"Only raw materials were assessed in the supplement table S10, S11",,
Accepted,The life cycle impacts of feed for modern grow-finish Northern Great Plains US swine production,10.1016/j.agsy.2011.11.002,Stone et al,2012,Pig,Pig,United States,N,,,,"Only assess corn, soymeal, and DDGS.",,
Accepted,Greenhouse Gas Emission of Broiler Chicken Production in Malaysia using Life Cycle Assessment Guidelines: A Case Study,10.26776/ijemm.03.02.2018.03,Suffian et al,2018,Chicken,Chicken,Malaysia,N,,,,GHG LCA,,
Accepted,Carbon Footprint: The Case of Four Chicken Meat Products Sold on the Spanish Market,http://doi.org/10.3390/foods11223712,Tetteh et al,2022,Chicken,Chicken,Spain,N,,,,"GHG LCA. ""Secondary data was used to assess the impact of feed production on the chicken meat GHG emissions."" Using FeedPrint tool (http://webapplicaties.wur.nl/software/feedprintNL/index.asp) to quantify GHG emission in animal feed production and utilisation.NO premix assessed in feedprint.",,
Accepted,Accounting for farm diversity in Life Cycle Assessment studies - The case of poultry production in a tropical island,10.1016/j.jclepro.2013.05.027,Thévenot et al,2013,Chicken,Chicken,Reunion Island,N,,,,"Feed composition table includes Calcium carbonate, Vitamin mineral premix, Calcium phosphate, Other, Salt. But ""The three main crops produced (maize, soybean and wheat) are the major contributors to the environmental impacts of poultry feed production"". So I think premix is not part of LCA",,
Accepted,Life cycle assessment of beef cow-calf systems with and without grazing on abandoned cultivated lands in Japan,http://doi.org/10.1111/grs.12054,Tsutsumi et al,2014,Cattle,Cattle,Japan,N,,,,"Table S1: Concentrate mixture for cow/calf. Not sure if that includes mineral. - NOTES FROM AUTHORS - >  QUES: Did you include mineral premix in the modelled feeds/concentrates? ANS: No.  QUES: If no, is this because the data were unavailable or because this was not expected in the feed for these cattle? ANS: This is because the data were unavailable, and the amount of the premix might be so small, causing little environmental impacts
",,
Accepted,Life-cycle impact assessment of organic and non-organic grass-fed beef production in Japan,10.1016/j.jclepro.2017.11.159,Tsutsumi et al,2018,Cattle,Cattle,Japan,N,,,,Not in the inventory,,
Accepted,Comparative study on the carbon footprints of extruded and pelleted feed and their potential for carbon reduction: A case study of grass carp feed,10.1016/j.jclepro.2022.135192,Wang et al,2022,Carp,Fish/Crustaceans,China,N,,,,"Despite mineral substances included in Table S1, their environmental impact is not accounted for in this LCA.",,
Accepted,"Cattle and carcass performance, and life cycle assessment of production systems utilizing additive combinations of growth promotant technologies",10.1093/tas/txaa216,Webb et al,2020,Cattle,Cattle,United States,N,,,,"Table 1: Supplement contained 58.3% ground corn, 29.6% limestone, 5.6% iodized salt, 4.7% ammonia chloride, 0.93% trace mineral mix, 0.25% thiamine, and 0.21% Vitamins A, D, and E.",,
Accepted,Environmental Impact Reduction in Broiler Chicken Farm Using Life Cycle Assessment in The Implementation of Circular Economy,https://doi.org/10.46254/SA02.20210643,Wicaksono and Kaswara,2021,Chicken,Chicken,Indonesia,N,,,,Only raw materials are assessed.,,
Accepted,Comparative life cycle assessment (LCA) of Tilapia in two production systems: semi-intensive and intensive,10.1007/s11367-016-1061-5,Yacout et al,2016,Tilapia,Fish/Crustaceans,Egypt,N,,,,"Table 2: Salt (sodium chloride)? Not sure if it includes mineral <- No, they didn't include premix :)",,
Accepted,Life cycle assessment of alternative swine management practices,http://doi.org/10.1093/jas/sky425,Bandekar et al ,2019,Pig,Pig,USA,Y,,?,,"Used the Pig Production Environmental Footprint Calculator model (PPEC), which does include both premix and Zn oxide. However, they then used SimaPro to do the LCA- not sure whether this uses a proxy or not ",,
Accepted,Environmental life cycle assessment of cow milk in a conventional semi‑intensive Brazilian production system,https://doi.org/10.1007/s11356-021-17317-5,Carvalho et al ,2021,Cattle,Cattle,Brazil,Y,Trace minerals,N,,"Included the minerals in both the concentrate and the licks/premix. Some  proxies were used, but were very close to the original (e.g. phosphate rock was used as a proxy for dicalcium phosphate, cobalt was used for cobalt sulphate, iodine was used for potassium iodate and selenium was used for sodium selenite)",,
Accepted,Environmental impact of Brazilian broiler production process: Evaluation using life cycle assessment,https://doi.org/10.1016/j.jclepro.2019.117752,Duarte de Silva Lima et al,2019,Chicken,Chicken,Brazil,Y,,N,,Explicitly included in the inventory. Used EcoInvent 2.2 and 3.3. for feed ingredients- no idea if they use a proxy,,
Accepted,Life Cycle Assessment of broiler chicken production: a Portuguese case study,https://doi.org/10.1016/j.jclepro.2014.03.067,Gonzalez-Garcîa,2014,Chicken,Chicken,Portugal,Y,Non-trace,N,,Monocalcium phosphate was modelled through LCA food DK database,,
Accepted,Eggs or meat? Environmental impact and efficiency assessment of chicken protein production with potential of Hermetia illucens use in feed,https://doi.org/10.1016/j.rcradv.2022.200121,Heines et al ,2022,Chicken,Chicken,Germany,Y,Non-trace,N,,Monocalcium phosphate was modelled through LCA food DK database - uses the data from Gonzalez-Garcia et al 2014,,
Accepted,Simplified life cycle assessment of galician milk production,https://doi.org/10.1016/S0958-6946(03)00100-6,Hospido et al,2003,Cattle (Milk),Cattle,Spain,Y,Non-trace,N,,Calcium carbonate and phosphate carbonate listed in the fodder factory inventory,,
Accepted,Environmental assessment of a pork-production system in North-East of Spain focusing on life-cycle swine nutrition,https://doi.org/10.1016/j.jclepro.2016.07.051,Lamnatou et al,2016,Pig,Pig,Spain,Y,Non-trace,N,Calcium carbonate,"Uses calcium carbonate for the mineral component. Beth: I think this might be actually what they fed the pigs, so I have changed to Y, N. ",,
Accepted,"Life-Cycle Assessment of the Beef Cattle Production System for the Northern Great Plains, USA",https://doi.org/10.2134/jeq2013.03.0101,Lupo et al ,2013,Cattle,Cattle,USA,Y,Non-trace,N,,"Salt (NaCl), calcium (as limestone, CaCO3), phosphorus (as dicalcium phosphate, CaHPO4), and CTC were included as minerals and supplements.",,
Accepted,Fishmeal partial substitution within aquafeed formulations: life cycle assessment of four alternative protein sources,https://doi.org/10.1007/s11367-020-01759-z,Maiolo et al,2020,Fish Feed,Fish/Crustaceans,Italy,Y,Non-trace,N,,"Sodium phosphate and Limestone only minerals stated in inventory (Agribalyse and Ecoinvent) <- Beth 19/06/24_ Supplementary information has: limestone, monocalcium phosphate, sodium chloride. Might be worth asking biomar whether these are likely to be proxies",,
Accepted,Circular Bioeconomy Practices in the Greek Pig Sector: The Environmental Performance of Bakery Meal as Pig Feed Ingredient, https://doi.org/10.3390/su151511688,Melas et al,2023,Pig,Pig,Greece,Y,Non-trace,N,,marble dust is stated in feed - calcium carbonate is included the inventory. This seems to be what marble dust is.,,
Accepted,Combining livestock and tree crops to improve sustainability in agriculture: a case study using the Life Cycle Assessment (LCA) approach,10.1016/j.jclepro.2016.05.024,Paolotti et al,2016,Chicken,Chicken,Italy,Y,Non-trace,N,,"Vitamin premix, Dicalcium phosphate, Sodium bicarbonate, Salt and Ash (not sure about that)? Used EcoInvent",,
Accepted,Life Cycle Assessment of pork production: A data inventory for the case of Germany,http://doi.org/10.1016/j.livsci.2013.09.001,Reckmann et al,2013,Pig,Pig,Germany,Y,Non-trace,N,,"feed mixtures included feed supplements, such as calcium carbonate and lysine. Table 3: Others 648 kg. Presumably they did not use a proxy",,
Accepted,Improvement of the environmental performance of broiler feeds: a study via life cycle assessment,10.1016/j.jclepro.2012.05.007,Tongpool et al,2012,Chicken,Chicken,Thailand,Y,Non-trace,N,,"Animal-mixed feeds: Minerals and Vitamin ingredients (1.8% of total ingredients) include Bone meal, Monocalcium phosphate, Calcium carbonate, Sodium chloride, Sodium carbonate, Vitamins. For vegetarian feeds: Minerals and Vitamin ingredients (3.0% of total ingredients) include Sodium chloride, calcium carbonate, sodium carbonate, monocalcium phosphate, vitamins. Importantly, the LCA also assess the environmental impact of feed minerals.",,
Accepted,Life cycle assessment of rainbow trout farming in the temperate climate zone based on the typical farm concept,10.1016/j.jclepro.2022.134851,Wind et al,2022,Rainbow trout,Fish/Crustaceans,Germany,Y,Trace,N,,Fish feed composition derived from Brinker and Reiter (2011): 10.1016/j.aquaculture.2010.09.041 and it's also attched in Table S1 (mineral premix 1.1g/kg),,
Accepted,Effect of life cycle inventory choices and nutritional variation on carbon footprint of broiler meat production,10.1016/j.jclepro.2022.135463,Alkhtib et al ,2023,Chicken,Chicken,United Kingdom,Y,Probably non-trace,Y,"Sodium bicarbonate, Europe, at mill'","Did the LCA just for carbon footprint using LCIs from Agribalyse 3.01, ECOALIM and GLFI. For the GLFI database, for for BR.trial starter premix and BR.trial Grower premix, the proxy was ' Total minerals, additives, vitamins, at plant/RER'. For both Agribalyse and ECOALIM, the proxy was 'Sodium bicarbonate, Europe, at mill'",,
Accepted,Comparing the environmental impacts of pasturebased and confinement-based dairy systems in Nova Scotia (Canada) using life cycle assessment,10.3763/ijas.2009.0356,Arsenault et al,2009,Cattle,Cattle,Canada,Y,Non-trace and trace,Y,Phosphate,"""Amalgam of monocal phosphate, salt, calcium granules, magnesium oxide, monoammonium phosphate, vitamins and trace mineral premix. Treated entirely as phosphate."" Interestingly, the mineral feed was attributed 0 ha of land use in the analysis too.",,
Accepted,"THE CONTRIBUTION OF A PORTION OF MEAT, FISH AND EGGS FOR CLIMATE CHANGE",10.29352/mill0203e.02.00191,Ferreira et al,2019,Cattle,Cattle,Denmark and Netherlands,Y,Probably trace,Y,Phosphorus,"Datasets for the products and processes included in the system boundaries were taken from LCA Food DK Project (Nielsen et al. 2003), except for eggs, where an adaptation of Agri-footprint version 4.0 (economic allocation) project (Blonk Agri-footprint BV 2017a) was used, because they don ́t exist in the LCA Food DK Project, as shown in Table 1. LCA Food DK project does not include premix in feeds for chickens, but for pigs and cattle have 'P, mineral feed', which I presume is a use of P as a proxy for all mineral feed. ",,
Accepted,"THE CONTRIBUTION OF A PORTION OF MEAT, FISH AND EGGS FOR CLIMATE CHANGE",10.29352/mill0203e.02.00191,Ferreira et al,2019,Pig,Pig,Denmark and Netherlands,Y,Probably non-trace,Y,Phosphorus,"Datasets for the products and processes included in the system boundaries were taken from LCA Food DK Project (Nielsen et al. 2003), except for eggs, where an adaptation of Agri-footprint version 4.0 (economic allocation) project (Blonk Agri-footprint BV 2017a) was used, because they don ́t exist in the LCA Food DK Project, as shown in Table 1. LCA Food DK project does not include premix in feeds for chickens, but for pigs and cattle have 'P, mineral feed', which I presume is a use of P as a proxy for all mineral feed. ",,
